WeatherYear|WeatherMonth|WeatherDay|Actual High|Actual Low|Actual Avg|Normal High|Normal Low|Normal Avg|Actual - Normal Avg Difference|Precipitation Amount|Heat Degree Day|Cool Degree Day|Rain Classification
2016|1|1|97|77|87|87|74|80|7|0|0|22|1
2016|1|2|91|76|84|87|74|80|4|0.04|0|19|1
2016|1|3|83|75|79|87|74|80|-1|0|0|14|1
2016|1|4|84|75|80|87|74|80|0|0.16|0|15|2
2016|1|5|84|70|77|87|74|80|-3|0.08|0|12|1
2016|1|6|83|71|77|87|74|80|-3|0|0|12|1
2016|1|7|89|73|81|87|74|81|0|0|0|16|1
2016|1|8|92|77|85|87|74|81|4|0|0|20|1
2016|1|9|90|79|85|88|74|81|4|0|0|20|1
2016|1|10|91|78|85|88|74|81|4|0|0|20|1
2016|1|11|92|78|85|88|74|81|4|0|0|20|1
2016|1|12|88|80|84|88|74|81|3|0.04|0|19|1
2016|1|13|96|77|87|88|74|81|6|0|0|22|1
2016|1|14|95|76|86|88|74|81|5|0|0|21|1
2016|1|15|94|79|87|88|74|81|6|0.03|0|22|1
2016|1|16|91|75|83|88|74|81|2|0.12|0|18|2
2016|1|17|83|72|78|88|74|81|-3|1.26|0|13|5
2016|1|18|76|71|74|88|74|81|-7|0.08|0|9|1
2016|1|19|85|73|79|88|74|81|-2|1.54|0|14|5
2016|1|20|82|74|78|88|74|81|-3|0.2|0|13|2
2016|1|21|75|73|74|89|74|81|-7|0.04|0|9|1
2016|1|22|79|72|76|89|74|82|-6|0.55|0|11|4
2016|1|23|82|73|78|89|74|82|-4|0.08|0|13|1
2016|1|24|84|73|79|89|74|82|-3|0.02|0|14|1
2016|1|25|86|76|81|89|75|82|-1|1.02|0|16|5
2016|1|26|91|78|85|89|75|82|3|0|0|20|1
2016|1|27|89|78|84|89|75|82|2|0|0|19|1
2016|1|28|87|78|83|89|75|82|1|0|0|18|1
2016|1|29|87|75|81|89|75|82|-1|0|0|16|1
2016|1|30|89|73|81|89|75|82|-1|0|0|16|1
2016|1|31|86|73|80|90|75|82|-2|0|0|15|1
2016|2|1|90|75|83|90|75|82|1|0|0|18|1
2016|2|2|92|77|85|90|75|82|3|0|0|20|1
2016|2|3|90|76|83|90|75|82|1|0|0|18|1
2016|2|4|91|75|83|90|75|82|1|0|0|18|1
2016|2|5|89|73|81|90|75|82|-1|0|0|16|1
2016|2|6|87|74|81|90|75|83|-2|0|0|16|1
2016|2|7|93|77|85|90|75|83|2|0|0|20|1
2016|2|8|92|73|83|90|75|83|0|0|0|18|1
2016|2|9|92|75|84|90|75|83|1|0|0|19|1
2016|2|10|95|76|86|90|75|83|3|0|0|21|1
2016|2|11|92|73|83|90|75|83|0|0|0|18|1
2016|2|12|84|72|78|90|75|83|-5|0.24|0|13|2
2016|2|13|85|71|78|90|75|83|-5|0|0|13|1
2016|2|14|93|78|86|90|75|83|3|0|0|21|1
2016|2|15|95|79|87|90|75|83|4|0|0|22|1
2016|2|16|93|79|86|90|75|83|3|0|0|21|1
2016|2|17|94|79|87|90|75|83|4|0|0|22|1
2016|2|18|92|76|84|90|75|83|1|0|0|19|1
2016|2|19|93|78|86|90|75|83|3|0|0|21|1
2016|2|20|92|78|85|90|75|83|2|0|0|20|1
2016|2|21|90|78|84|90|75|83|1|0|0|19|1
2016|2|22|91|76|84|90|75|83|1|0.12|0|19|2
2016|2|23|90|75|83|90|75|82|1|0|0|18|1
2016|2|24|91|74|83|90|75|82|1|0|0|18|1
2016|2|25|95|78|87|90|75|82|5|0|0|22|1
2016|2|26|94|80|87|90|75|82|5|0|0|22|1
2016|2|27|93|80|87|90|75|82|5|0|0|22|1
2016|2|28|96|79|88|90|75|82|6|0|0|23|1
2016|2|29|94|77|86|90|75|82|4|0|0|21|1
2016|3|1|81|76|79|89|75|82|-3|0|0|14|1
2016|3|2|87|74|81|89|75|82|-1|0|0|16|1
2016|3|3|91|76|84|89|75|82|2|0|0|19|1
2016|3|4|92|73|83|89|75|82|1|0.59|0|18|4
2016|3|5|92|72|82|89|74|82|0|0|0|17|1
2016|3|6|91|76|84|89|74|82|2|0|0|19|1
2016|3|7|90|75|83|89|74|82|1|0|0|18|1
2016|3|8|89|75|82|89|74|82|0|0|0|17|1
2016|3|9|91|75|83|89|74|81|2|0|0|18|1
2016|3|10|91|75|83|89|74|81|2|0|0|18|1
2016|3|11|93|79|86|88|74|81|5|0|0|21|1
2016|3|12|96|79|88|88|74|81|7|0|0|23|1
2016|3|13|84|76|80|88|74|81|-1|0.01|0|15|1
2016|3|14|84|74|79|88|74|81|-2|0.03|0|14|1
2016|3|15|86|73|80|88|74|81|-1|0.28|0|15|3
2016|3|16|84|74|79|88|74|81|-2|1.06|0|14|5
2016|3|17|86|73|80|88|74|81|-1|1.34|0|15|5
2016|3|18|85|73|79|88|74|81|-2|0.04|0|14|1
2016|3|19|84|73|79|88|74|81|-2|0.01|0|14|1
2016|3|20|86|75|81|88|74|81|0|0.16|0|16|2
2016|3|21|85|73|79|87|74|81|-2|0|0|14|1
2016|3|22|91|74|83|87|74|81|2|0|0|18|1
2016|3|23|94|76|85|87|74|81|4|0|0|20|1
2016|3|24|84|76|80|87|74|80|0|0|0|15|1
2016|3|25|89|75|82|87|74|80|2|0|0|17|1
2016|3|26|89|76|83|87|74|80|3|0|0|18|1
2016|3|27|89|76|83|87|74|80|3|0|0|18|1
2016|3|28|90|73|82|87|74|80|2|0|0|17|1
2016|3|29|91|74|83|87|74|80|3|0|0|18|1
2016|3|30|90|74|82|87|74|80|2|0|0|17|1
2016|3|31|90|76|83|87|74|80|3|0|0|18|1
2016|4|1|92|76|84|87|74|80|4|0|0|19|1
2016|4|2|84|74|79|87|73|80|-1|0|0|14|1
2016|4|3|89|76|83|87|73|80|3|0|0|18|1
2016|4|4|90|75|83|87|73|80|3|0.2|0|18|2
2016|4|5|86|73|80|86|73|80|0|0|0|15|1
2016|4|6|87|73|80|86|73|80|0|0|0|15|1
2016|4|7|89|73|81|86|73|80|1|0|0|16|1
2016|4|8|91|73|82|86|73|80|2|0|0|17|1
2016|4|9|90|71|81|86|73|80|1|0|0|16|1
2016|4|10|92|71|82|86|73|80|2|0|0|17|1
2016|4|11|90|72|81|86|73|80|1|0|0|16|1
2016|4|12|87|73|80|86|73|80|0|0.12|0|15|2
2016|4|13|89|74|82|86|73|80|2|0.08|0|17|1
2016|4|14|90|72|81|86|73|80|1|0|0|16|1
2016|4|15|91|71|81|86|73|79|2|0|0|16|1
2016|4|16|90|70|80|86|73|79|1|0|0|15|1
2016|4|17|88|73|81|86|73|79|2|0.05|0|16|1
2016|4|18|87|75|81|86|73|79|2|0|0|16|1
2016|4|19|86|75|81|86|73|79|2|0.01|0|16|1
2016|4|20|88|75|82|86|73|79|3|0.08|0|17|1
2016|4|21|87|74|81|86|73|79|2|0|0|16|1
2016|4|22|89|72|81|86|72|79|2|0|0|16|1
2016|4|23|88|70|79|86|72|79|0|0|0|14|1
2016|4|24|88|70|79|85|72|79|0|0|0|14|1
2016|4|25|90|74|82|85|72|79|3|0|0|17|1
2016|4|26|93|78|86|85|72|79|7|0|0|21|1
2016|4|27|92|76|84|85|72|79|5|0|0|19|1
2016|4|28|80|72|76|85|72|79|-3|0|0|11|1
2016|4|29|75|71|73|85|72|79|-6|0.01|0|8|1
2016|4|30|81|70|76|85|72|78|-2|0|0|11|1
2016|5|1|77|70|74|85|72|78|-4|0|0|9|1
2016|5|2|81|69|75|85|72|78|-3|0|0|10|1
2016|5|3|79|69|74|85|71|78|-4|0|0|9|1
2016|5|4|87|68|78|85|71|78|0|0|0|13|1
2016|5|5|81|67|74|85|71|78|-4|0|0|9|1
2016|5|6|82|67|75|85|71|78|-3|0|0|10|1
2016|5|7|89|71|80|85|71|78|2|0|0|15|1
2016|5|8|87|73|80|85|71|78|2|0|0|15|1
2016|5|9|89|71|80|85|71|78|2|0|0|15|1
2016|5|10|91|71|81|84|71|78|3|0|0|16|1
2016|5|11|85|72|79|84|71|77|2|0|0|14|1
2016|5|12|83|72|78|84|70|77|1|0.47|0|13|3
2016|5|13|82|72|77|84|70|77|0|0|0|12|1
2016|5|14|78|71|75|84|70|77|-2|0|0|10|1
2016|5|15|79|68|74|84|70|77|-3|0|0|9|1
2016|5|16|91|69|80|84|70|77|3|0|0|15|1
2016|5|17|84|73|79|84|70|77|2|0|0|14|1
2016|5|18|81|73|77|84|70|77|0|0|0|12|1
2016|5|19|79|73|76|84|69|77|-1|0.16|0|11|2
2016|5|20|81|73|77|84|69|76|1|0.16|0|12|2
2016|5|21|82|73|78|83|69|76|2|0|0|13|1
2016|5|22|89|74|82|83|69|76|6|0|0|17|1
2016|5|23|92|71|82|83|69|76|6|0|0|17|1
2016|5|24|81|71|76|83|69|76|0|0|0|11|1
2016|5|25|78|66|72|83|69|76|-4|0|0|7|1
2016|5|26|79|63|71|83|68|76|-5|0|0|6|1
2016|5|27|79|62|71|83|68|76|-5|0|0|6|1
2016|5|28|79|61|70|83|68|75|-5|0|0|5|1
